#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,5126460335999156
1,0;2,0;0,14613161048597303
2,0;3,0;0,10244994625868722
3,0;4,0;0,07240537139926155
4,0;5,0;0,05023588237283541
5,0;6,0;0,03668417350188978
6,0;7,0;0,024774044184937158
7,0;8,0;0,0166979771822272
8,0;9,0;0,011537257146836595
9,0;10,0;0,008027816721893321
10,0;11,0;0,0060130549959800765
11,0;12,0;0,0033469894794787704
12,0;13,0;0,002907856923727296
13,0;14,0;0,0018513707749779104
14,0;15,0;0,001620879433518303
15,0;16,0;9,963357986743483E-4
16,0;17,0;6,921840285110459E-4
17,0;18,0;4,7455276189707423E-4
18,0;19,0;3,2927191636255323E-4
19,0;20,0;4,826028087483469E-5
20,0;21,0;8,030046734871997E-6
21,0;22,0;4,180024327741587E-6
22,0;23,0;9,680056337927888E-6
23,0;24,0;2,770016121493827E-6
24,0;25,0;7,709044866641124E-5
25,0;26,0;2,7380159352527432E-5
26,0;27,0;0,0
27,0;28,0;0,0
28,0;29,0;0,0
29,0;30,0;0,0
30,0;31,0;0,0
31,0;32,0;0,0
32,0;33,0;0,0
33,0;34,0;0,0
34,0;35,0;0,0
35,0;36,0;0,0
36,0;37,0;0,0
37,0;38,0;0,0
38,0;39,0;0,0
39,0;40,0;0,0
40,0;41,0;0,0
41,0;42,0;0,0
42,0;43,0;0,0
43,0;44,0;0,0
44,0;45,0;0,0
45,0;46,0;0,0
46,0;47,0;0,0
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
